model_name,author,downloads,likes,task,last_modified
baidu/Unlimited-OCR,,134146,1065,image-text-to-text,
zai-org/GLM-5.2,,83589,2617,text-generation,
empero-ai/Qwythos-9B-Claude-Mythos-5-1M-GGUF,,486810,611,text-generation,
yuxinlu1/gemma-4-12B-agentic-fable5-composer2.5-v2-3.5x-tau2-GGUF,,186663,694,text-generation,
yuxinlu1/gemma-4-12B-coder-fable5-composer2.5-v1-GGUF,,516333,2406,text-generation,
empero-ai/Qwythos-9B-Claude-Mythos-5-1M,,20346,456,text-generation,
Qwen/Qwen-AgentWorld-35B-A3B,,13186,328,text-generation,
krea/Krea-2-Turbo,,8721,290,text-to-image,
WeiboAI/VibeThinker-3B,,54638,735,text-generation,
deepreinforce-ai/Ornith-1.0-35B-GGUF,,3002,251,text-generation,
unsloth/GLM-5.2-GGUF,,107553,416,text-generation,
krea/Krea-2-Raw,,10408,205,text-to-image,
HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,,3453492,2267,image-text-to-text,
deepreinforce-ai/Ornith-1.0-9B-GGUF,,1779,173,text-generation,
nvidia/LocateAnything-3B,,494756,2387,image-text-to-text,
Comfy-Org/Krea-2,,10,143,,
nvidia/nemotron-3.5-asr-streaming-0.6b,,56434,712,automatic-speech-recognition,
deepreinforce-ai/Ornith-1.0-35B,,1005,132,text-generation,
microsoft/FastContext-1.0-4B-SFT,,5735,357,text-generation,
deepreinforce-ai/Ornith-1.0-9B,,218,120,text-generation,
LiquidAI/LFM2.5-230M,,8286,115,text-generation,
nvidia/Qwen3.6-35B-A3B-NVFP4,,4812629,363,text-generation,
huihui-ai/Huihui-gemma-4-12B-coder-fable5-composer2.5-v1-abliterated,,5445,136,text-generation,
deepreinforce-ai/Ornith-1.0-397B,,126,110,text-generation,
datalab-to/lift,,6054,159,image-text-to-text,
Chunjiang-Intelligence/DeepSeek-v4-Fable,,1103,108,text-generation,
MiniMaxAI/MiniMax-M3,,169951,1248,image-text-to-text,
nvidia/GLM-5.2-NVFP4,,441,96,text-generation,
Jackrong/Qwopus3.6-27B-Coder-Compat-MTP-GGUF,,35027,95,image-text-to-text,
HauhauCS/Gemma4-12B-QAT-Uncensored-HauhauCS-Balanced,,23772,93,image-text-to-text,
